frequency_mhz,distance_m,tx_power_dbm,tx_gain_dbi,rx_gain_dbi,tx_height_m,rx_height_m,obstacle_count,humidity_pct,environment,weather_condition,received_power_dbm,signal_level
697.33,23.39,20.68,12.36,2.35,31.61,2.31,5.0,33.1,Suburban,Rain,-46.29,Excellent
3477.13,1435.14,28.69,5.38,4.47,35.6,1.96,5.0,54.3,Dense Urban,Rain,-160.8,Poor
2604.15,4646.05,41.8,8.91,4.25,12.75,1.41,0.0,50.8,Rural,Clear,-64.0,Excellent
2079.39,93.9,31.52,7.71,2.12,21.86,1.38,4.0,50.0,Suburban,Storm,-70.74,Good
2073.66,2165.47,22.17,17.63,3.72,34.47,2.46,9.0,46.7,Dense Urban,Rain,-169.49,Poor
4999.92,1143.11,45.35,10.82,0.22,19.39,1.21,0.0,62.4,Rural,Clear,-54.84,Excellent
709.32,2886.3,22.62,6.0,3.78,34.37,2.41,5.0,67.3,Suburban,Clear,-109.7,Poor
2621.25,139.76,19.72,11.66,3.63,46.03,1.8,5.0,34.3,Indoor,Clear,-124.97,Poor
916.97,18.77,31.03,3.14,2.91,40.74,1.21,2.0,87.9,Indoor,Clear,-71.86,Good
721.43,20.87,18.18,16.83,0.57,31.35,1.52,3.0,54.7,Urban,Clear,-49.97,Excellent
2415.6,1147.76,36.72,7.51,1.48,21.16,2.0,1.0,78.2,Suburban,Clear,-88.13,Fair
5812.19,2138.49,31.74,16.13,0.86,26.46,1.47,8.0,57.0,Dense Urban,Storm,-173.4,Poor
3470.61,171.19,49.2,14.95,0.29,13.44,2.4,3.0,71.5,Suburban,Clear,-52.22,Excellent
3507.57,14.48,20.97,4.99,4.5,15.8,1.24,1.0,24.9,Rural,Storm,-42.82,Excellent
3477.23,15.14,23.5,17.4,0.91,49.94,1.64,9.0,31.9,Urban,Clear,-67.52,Excellent
3473.52,412.67,42.71,17.87,1.03,46.67,1.65,3.0,42.8,Urban,Rain,-89.56,Fair
2379.38,3015.36,42.85,14.88,3.5,34.7,2.11,4.0,29.3,Urban,Clear,-119.81,Poor
869.4,119.8,28.82,9.22,1.61,35.17,2.48,7.0,60.4,Urban,Clear,-88.69,Fair
5014.63,570.17,47.13,12.76,2.02,21.22,2.43,3.0,54.5,Indoor,Clear,-132.12,Poor
2126.93,290.31,47.06,3.29,0.28,25.66,1.74,0.0,34.8,Rural,Clear,-38.32,Excellent
2428.74,2520.17,40.78,16.74,4.63,18.2,2.03,2.0,65.7,Suburban,Fog,-87.29,Fair
1823.6,1764.37,41.02,5.55,4.98,48.01,2.39,1.0,70.7,Rural,Clear,-51.58,Excellent
827.98,34.52,34.38,13.47,1.84,42.61,2.18,3.0,13.1,Suburban,Clear,-31.57,Excellent
